label,train
1,thẻ bảo_hiểm y_tế í
1,bảo_hiểm y_tế có bắt_buộc không
1,do e hôq hiểu chỗ bảo_hiểm_ó . là mik chọn 1 trong 2 bảo_hiểm đó đúng
1,e mua bảo_hiểm y_tế theo hộ gia_đình thì có cần đóng tiền bảo_hiểm y_tế
1,nếu mà đóng bảo_hiểm có cần mang cái bảo_hiểm cũ lên
1,với lại bảo_hiểm_thân_thể có bắt_buộc phải mua như bảo_hiểm y_tế
1,còn bảo_hiểm thì sao
1,bảo_hiểm y_tế em để đâu mất tiêu giờ tìm thấy
1,bảo_hiểm y_tế của e còn hạn tới tháng 12 thì sau_này e mới đóng tiền bảo_hiểm
1,mà em thấy bảo_hiểm_em hết hạn đến tháng 9 khỏi cần mang theo đúng không
1,hộ cận nghèo có bảo_hiểm y_tế
1,bảo_hiểm y_tế dân_tộc_người_ta cấp 5 năm
1,mà bảo_hiểm y_tế e có rồi
1,do em ở địa_phương khó_khăn nên được cấp bảo_hiểm y_tế
1,bảo_hiểm y_tế bên xã em mỗi năm đều cấp thì mình khỏi đóng đúm không
1,hôm_qua em nộp hồ_sơ đóng tiền học_phí với bảo_hiểm rồi
1,bảo_hiểm_thân_thể có bắc buộc
1,em mua bảo_hiểm_y té rồi h nhận ở đâu
1,tiền bảo_hiểm đóng sau kh
1,hôm_qua e mới nhặt 1 thẻ bảo_hiểm sinh_viên
1,khi đóng bảo_hiểm học_phí xong có đưa 1 tờ giây bảo_hiểm nhỏ nhỏ mà em lm mất có sao .
1,khi nãy em đi đóng cô bảo là phải nộp thẻ bảo_hiểm y_tế vào ngày_mai và mốt
1,tiền bảo_hiểm học mình ms đóng được
1,hai bảo_hiểm y_tế mình chỉ đóng 1 trong 2 cái đó thôi hặn
1,nếu em có bảo_hiểm y_tế rồi ( tuy là hết hạn vào tháng 12 / 2020 nhưng em vẫn được ủy_ban phường cấp mới cho năm tiếp_theo tính từ đầu tháng 1 / 2021 theo chính chính_sách hỗ_trợ cho gia_đình thuộc diện khó_khăn ) . như thì khi đi đăng_kí nhập_học em có phải đóng khoản bảo_hiểm y_tế như trên thông_báo trên không
1,bảo_hiểm y_tế em có rồi thì phô đem vô khỏi nộp dc
1,cái bảo_hiểm_á chớ phải tờ giấy chứng_nhận đâu
1,em có bảo_hiểm y_tế sẵn ở nhà rồi
1,nhưng nhà em mua bảo_hiểm gia_đình thì có hoàn lại tiền bhyt không ?
1,sao em đóng tiền bảo_hiểm_sao nta chưa phát em
1,vô_học đóng tiền bảo_hiểm
2,vào ngày 4 / 10 là test tiếng anh đầu_vào nhưng mà ngày đó gia_đình em có việc đột_xuất không có ở nha_trang
2,mỗi cấp_độ chứng_chỉ tiếng anh thì bn tiền
2,cuộc thi đánh_giá năng_lực tiếg anh đầu_vào
2,giờ đã có lịch thi tiếng anh
2,ngành đó có càn làm bài test tiếng anh ?
2,ngày mấy thi tiếng anh đầu_vào ?
2,tiền thi tiếng anh_em lên lấy lại hay sao
2,mình cần đem phiếu đóng tiền tiếng anh th đúng
2,trường mình có tài_liệu ôn thi kiểm_tra tiếng anh không ?
